X_groundTruth,Y_groundTruth,X_measured,Y_measured,Vx,Vy,X_error,Y_error
2.0,0.0,2.0,0.0,5.0,50.0,0.0,0.0
2.0,0.0,2.4108786114279326,0.36628967699217574,5.0,50.0,0.4108786114279326,0.36628967699217574
2.5,4.951,4.936053527691849,4.031233867733043,5.0,49.02,2.436053527691849,-0.9197661322669567
3.0,9.804,3.694651613589791,10.302644086182285,5.0,48.04,0.6946516135897909,0.4986440861822853
3.5,14.559000000000001,1.5158186665332438,14.621272209642097,5.0,47.06,-1.9841813334667562,0.062272209642096454
4.0,19.216,2.784162383866276,21.199917479335213,5.0,46.08,-1.215837616133724,1.9839174793352117
4.5,23.775,6.4572030107827105,19.484169749841936,5.0,45.1,1.9572030107827103,-4.290830250158063
5.0,28.236000000000004,4.810612047869665,26.458954293165213,5.0,44.12,-0.18938795213033502,-1.7770457068347916
5.5,32.599,5.199857831170365,36.281806019242104,5.0,43.14,-0.30014216882963507,3.682806019242106
6.0,36.864,6.694780000932607,37.746936135870506,5.0,42.16,0.6947800009326066,0.8829361358705083
6.5,41.031,3.302239107187477,44.47931869903197,5.0,41.18,-3.197760892812523,3.448318699031974
7.0,45.1,8.810587053011407,45.331163592034954,5.0,40.2,1.810587053011407,0.2311635920349497
7.5,49.071000000000005,6.1071350770331065,46.03625543946289,5.0,39.22,-1.392864922966894,-3.034744560537117
8.0,52.944,9.839405318722537,53.414074467738914,5.0,38.239999999999995,1.8394053187225383,0.4700744677389144
8.5,56.718999999999994,9.268445790251128,53.412365666923804,5.0,37.26,0.7684457902511286,-3.306634333076191
9.0,60.396,7.486467376615034,59.02546804854558,5.0,36.28,-1.5135326233849662,-1.370531951454425
9.5,63.975,8.44355089729576,69.03032920742369,5.0,35.3,-1.05644910270424,5.055329207423689
10.0,67.456,9.572425613892868,67.8609716232786,5.0,34.32,-0.42757438610713155,0.40497162327859687
10.5,70.83900000000001,15.456412378792528,71.37356364025169,5.0,33.339999999999996,4.956412378792527,0.534563640251672
11.0,74.124,12.946102187876146,72.62960115697317,5.0,32.36,1.9461021878761469,-1.4943988430268356
11.5,77.31099999999999,11.77960449006766,76.69765295990406,5.0,31.38,0.27960449006765997,-0.6133470400959314
12.0,80.4,12.812031044665675,79.02657209456517,5.0,30.4,0.8120310446656747,-1.3734279054348377
12.5,83.39099999999999,11.377655407949804,84.62437924730428,5.0,29.419999999999998,-1.1223445920501955,1.233379247304286
13.0,86.284,8.514698821722362,85.68281515850401,5.0,28.439999999999998,-4.485301178277638,-0.6011848414959862
13.500000000000002,89.07900000000001,17.410567335530615,86.95141663755462,5.0,27.459999999999997,3.910567335530615,-2.127583362445394
14.000000000000002,91.77600000000001,10.776612292982453,93.63063722446242,5.0,26.479999999999993,-3.2233877070175483,1.8546372244624014
14.5,94.375,11.344740799379977,93.11944826282016,5.0,25.5,-3.155259200620022,-1.2555517371798497
15.0,96.87599999999999,13.56497826871836,96.16214954668936,5.0,24.519999999999996,-1.43502173128164,-0.7138504533106257
15.5,99.279,15.230062054528794,101.11736737674741,5.0,23.539999999999996,-0.26993794547120536,1.8383673767474187
16.0,101.58399999999999,17.89217356455433,99.01163545440977,5.0,22.559999999999995,1.8921735645543296,-2.5723645455902155
16.5,103.79100000000003,14.108048311007055,102.84491506382935,5.0,21.579999999999995,-2.3919516889929446,-0.9460849361706771
17.0,105.9,18.694438109573206,102.9886598724268,5.0,20.599999999999998,1.6944381095732068,-2.911340127573207
17.5,107.911,17.903894856391837,105.30496773615246,5.0,19.619999999999997,0.40389485639183587,-2.606032263847544
18.0,109.82399999999998,19.110057735755667,109.30574485500021,5.0,18.639999999999997,1.110057735755669,-0.5182551449997741
18.5,111.63899999999998,15.503997580188376,113.8204309588468,5.0,17.659999999999997,-2.9960024198116244,2.1814309588468173
19.0,113.35600000000001,18.316625093478937,111.50008688306843,5.0,16.679999999999993,-0.6833749065210618,-1.8559131169315726
19.5,114.975,18.872506641408155,116.5818489837918,5.0,15.699999999999996,-0.6274933585918446,1.6068489837918094
20.0,116.496,24.643080207124743,118.56315528387331,5.0,14.719999999999999,4.6430802071247435,2.067155283873318
20.5,117.91899999999998,19.908673879639466,116.54007565953792,5.0,13.739999999999995,-0.5913261203605338,-1.3789243404620617
21.0,119.24399999999999,19.95521678176815,121.68589940311097,5.0,12.759999999999998,-1.044783218231851,2.4418994031109778
21.5,120.471,21.609881914830787,118.15016089314125,5.0,11.779999999999994,0.1098819148307858,-2.3208391068587493
22.0,121.6,22.65142473344579,120.56933320569689,5.0,10.799999999999997,0.6514247334457893,-1.0306667943030985
22.500000000000004,122.631,24.572710819581186,121.90099261403141,5.0,9.819999999999993,2.0727108195811814,-0.7300073859685839
23.0,123.564,20.30560555734219,121.80537706173641,5.0,8.839999999999996,-2.6943944426578113,-1.7586229382635892
23.5,124.399,25.9259049565252,126.31666461282241,5.0,7.859999999999999,2.4259049565251996,1.9176646128223998
24.0,125.13600000000001,23.749017147427868,125.67374619918084,5.0,6.8799999999999955,-0.25098285257213143,0.5377461991808271
24.5,125.77499999999999,21.281830170340054,124.77468187423527,5.0,5.899999999999999,-3.2181698296599466,-1.000318125764718
25.000000000000004,126.316,27.26913603554901,127.0626914444889,5.0,4.919999999999995,2.2691360355490087,0.746691444488898
25.5,126.75899999999999,23.62600683112147,126.41649305421437,5.0,3.9399999999999977,-1.8739931688785307,-0.34250694578562213
26.000000000000004,127.10399999999998,25.9217201026914,126.53964228388577,5.0,2.9599999999999866,-0.07827989730860326,-0.5643577161142174
